Track Name,Album Name,Album Release Date,Total Tracks on Album,Popularity,Artists,Duration (ms),Track Number,Sentiment,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
Dear Rosemary,Wasting Light,4/12/11,11,55,"Foo Fighters,",266533,3,0.071794872,11,0,4,2.05E-05,0.514,0.864,7.27E-05,0.313,-3.817,0.0378,0.698,123.861
White Limo,Wasting Light,4/12/11,11,50,"Foo Fighters,",202466,4,-0.042016807,9,0,4,5.29E-06,0.368,0.939,0.898,0.082,-3.65,0.0382,0.615,84.08
Arlandria,Wasting Light,4/12/11,11,57,"Foo Fighters,",267560,5,0.074766355,9,1,4,0.000128,0.632,0.734,1.05E-05,0.337,-5.179,0.0375,0.645,116.336
These Days,Wasting Light,4/12/11,11,62,"Foo Fighters,",298266,6,-0.12345679,2,1,4,0.000261,0.532,0.664,0,0.205,-4.428,0.0304,0.215,135.306
Back & Forth,Wasting Light,4/12/11,11,49,"Foo Fighters,",231933,7,0.007692308,0,1,4,3.79E-05,0.576,0.848,8.58E-05,0.205,-4.145,0.0433,0.748,138.959
A Matter Of Time,Wasting Light,4/12/11,11,48,"Foo Fighters,",276093,8,-0.008,9,1,4,0.000111,0.463,0.877,6.26E-06,0.523,-4.236,0.0307,0.695,173.135
Miss The Misery,Wasting Light,4/12/11,11,47,"Foo Fighters,",271973,9,-0.023076923,11,0,3,2.34E-06,0.432,0.95,0.00306,0.166,-4.503,0.0409,0.443,121.153
I Should Have Known,Wasting Light,4/12/11,11,48,"Foo Fighters,",255733,10,-0.083333333,7,0,4,0.000181,0.23,0.623,4.35E-05,0.239,-5.128,0.0393,0.172,117.995
Walk,Wasting Light,4/12/11,11,66,"Foo Fighters,",255960,11,-0.085526316,9,1,4,3.62E-05,0.231,0.866,0.000552,0.29,-5.131,0.0517,0.191,138.311
I'd Like To Know,I Should Coco,5/15/95,13,32,"Supergrass,",242493,1,0.203703704,2,1,4,3.50E-05,0.179,0.946,0.764,0.38,-6.181,0.114,0.229,165.835
Caught By the Fuzz,I Should Coco,5/15/95,13,42,"Supergrass,",136773,2,0.011627907,9,1,4,0.000202,0.322,0.952,0.219,0.0671,-6.925,0.205,0.257,161.79
Mansize Rooster,I Should Coco,5/15/95,13,31,"Supergrass,",154626,3,-0.097826087,0,1,4,5.29E-05,0.286,0.844,0.00205,0.0596,-6.41,0.0462,0.684,163.738
Alright,I Should Coco,5/15/95,13,70,"Supergrass,",180880,4,0.111111111,4,0,4,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,0.701,145.92
Lose It,I Should Coco,5/15/95,13,27,"Supergrass,",157706,5,0.015625,4,0,4,6.48E-05,0.167,0.935,0.751,0.0916,-5.379,0.0924,0.271,150.816
Lenny,I Should Coco,5/15/95,13,27,"Supergrass,",162733,6,0.214285714,9,1,4,8.11E-05,0.439,0.727,0.482,0.0897,-7.672,0.0712,0.547,159.654
